,mock hard classifier
0,0.7441999999999999
1,0.7367000000000001
2,0.7241
3,0.7468
4,0.7398
5,0.7463
6,0.7485999999999999
7,0.7524
8,0.745
9,0.744
10,0.7353999999999999
11,0.7369999999999999
12,0.7442
13,0.7479999999999999
14,0.7494000000000001
15,0.7428
16,0.7484999999999999
17,0.7464999999999999
18,0.7505999999999999
19,0.7326999999999999
20,0.7506999999999999
21,0.7591
22,0.7519
23,0.744
24,0.7396
25,0.7483000000000001
26,0.7521
27,0.7463000000000001
28,0.7484999999999999
29,0.7455999999999999
30,0.7362
31,0.7474000000000001
32,0.7322
33,0.7493
34,0.7418
35,0.7398
36,0.7527
37,0.734
38,0.7411000000000001
39,0.7484000000000001
40,0.7386000000000001
41,0.7599
42,0.7323999999999999
43,0.7426999999999999
44,0.7487
45,0.7478
46,0.729
47,0.7292000000000001
48,0.7453000000000001
49,0.7466999999999999
50,0.7503
51,0.741
52,0.7301
53,0.745
54,0.7407999999999999
55,0.7470000000000001
56,0.7395
57,0.7449000000000001
58,0.7573000000000001
59,0.7345
60,0.7531000000000001
61,0.7482
62,0.7522
63,0.7429999999999999
64,0.7472
65,0.7457999999999999
66,0.7432
67,0.7614
68,0.7417
69,0.7424999999999999
70,0.7563000000000001
71,0.7484000000000001
72,0.7446
73,0.7493000000000001
74,0.7388999999999999
75,0.7475
76,0.7373
77,0.7402
78,0.7487
79,0.7468000000000001
80,0.7428000000000001
81,0.7327
82,0.7255
83,0.7372000000000002
84,0.7342000000000002
85,0.7481000000000001
86,0.7431000000000001
87,0.7350000000000001
88,0.7455999999999999
89,0.7407999999999999
90,0.7439
91,0.7464000000000001
92,0.7418000000000001
93,0.7527999999999999
94,0.7452
95,0.7543
96,0.7441
97,0.7412
98,0.7318
99,0.7514
100,0.7384999999999999
101,0.7442
102,0.749
103,0.7493
104,0.7313000000000001
105,0.7555
106,0.7445999999999999
107,0.7476999999999999
108,0.7472000000000001
109,0.7315
110,0.7449999999999999
111,0.7394999999999999
112,0.7404999999999999
113,0.7407999999999999
114,0.7315
115,0.7456
116,0.7409000000000001
117,0.7417
118,0.7462000000000001
119,0.7349
120,0.7368
121,0.7429
122,0.7385999999999999
123,0.7492
124,0.7341999999999999
125,0.7456999999999999
126,0.7468000000000001
127,0.7373999999999999
128,0.7499
129,0.7434000000000001
130,0.7389
131,0.7493000000000001
132,0.7546
133,0.7461
134,0.7381000000000001
135,0.7636000000000001
136,0.7529
137,0.7494
138,0.741
139,0.7362
140,0.7489000000000001
141,0.747
142,0.7418
143,0.7476
144,0.7484999999999999
145,0.7384000000000001
146,0.7421999999999999
147,0.7357000000000001
148,0.7481999999999999
149,0.7508
150,0.7448
151,0.7317000000000001
152,0.7501
153,0.7442
154,0.7365000000000002
155,0.7449
156,0.7441000000000001
157,0.7465000000000002
158,0.7413000000000001
159,0.7324999999999999
160,0.7475
161,0.7425
162,0.7365999999999999
163,0.7509
164,0.7344999999999999
165,0.7445999999999999
166,0.7424
167,0.7486999999999999
168,0.7458
169,0.7575
170,0.7391
171,0.7472000000000001
172,0.753
173,0.7453000000000001
174,0.7324999999999998
175,0.7406999999999999
176,0.7373000000000001
177,0.7468000000000001
178,0.7533
179,0.7352
180,0.7513000000000001
181,0.7537
182,0.7424999999999999
183,0.7470000000000001
184,0.7416
185,0.7406
186,0.7526
187,0.7359
188,0.7553
189,0.7384000000000001
190,0.7495
191,0.7497
192,0.7552
193,0.7403
194,0.7555999999999999
195,0.7346999999999999
196,0.7389999999999999
197,0.7506999999999999
198,0.7388999999999999
199,0.7382
200,0.7497
201,0.7358
202,0.744
203,0.7414000000000001
204,0.7420000000000001
205,0.7421
206,0.7471000000000001
207,0.7575999999999999
208,0.7494999999999999
209,0.7503999999999997
210,0.742
211,0.7431000000000001
212,0.7323999999999999
213,0.7503000000000001
214,0.7384999999999999
215,0.7372
216,0.7465
217,0.7472
218,0.7389
219,0.7422000000000001
220,0.7441
221,0.7481
222,0.7502
223,0.7470000000000001
224,0.7348999999999999
225,0.7291
226,0.7442999999999999
227,0.7408
228,0.7407999999999999
229,0.7551000000000001
230,0.7348000000000001
231,0.7487999999999999
232,0.7537999999999999
233,0.74
234,0.7335
235,0.7458
236,0.748
237,0.7308
238,0.7437
239,0.7439
240,0.7503
241,0.7455
242,0.7388
243,0.747
244,0.742
245,0.7373999999999999
246,0.7331
247,0.7484
248,0.743
249,0.7468
250,0.756
251,0.7389
252,0.7414
253,0.7445999999999999
254,0.7471999999999999
255,0.7434000000000001
256,0.7410999999999999
257,0.7446
258,0.7542
259,0.7396
260,0.7546999999999999
261,0.7474999999999999
262,0.7457
263,0.7350999999999999
264,0.7419999999999999
265,0.7343999999999999
266,0.7544000000000001
267,0.7420000000000001
268,0.7433000000000001
269,0.7426000000000001
270,0.7323000000000001
271,0.736
272,0.7396999999999999
273,0.7414
274,0.7469000000000001
275,0.7474000000000001
276,0.7446999999999999
277,0.7472
278,0.7398
279,0.7437
280,0.7457
281,0.7478
282,0.7561
283,0.7405
284,0.7422
285,0.7489999999999999
286,0.7552
287,0.7399
288,0.7457
289,0.7558
290,0.7392
291,0.7432999999999998
292,0.7397
293,0.7413000000000001
294,0.7497
295,0.7484
296,0.7463
297,0.7444
298,0.7424
299,0.7499
300,0.7376
301,0.7445000000000002
302,0.7454000000000001
303,0.7384999999999999
304,0.7337
305,0.7486
306,0.7398999999999999
307,0.7483
308,0.7478
309,0.7474000000000001
310,0.7449
311,0.7359
312,0.7394999999999999
313,0.7363999999999999
314,0.7373000000000001
315,0.7367
316,0.7327999999999999
317,0.7460000000000001
318,0.7503
319,0.7553
320,0.7423
321,0.7487999999999999
322,0.7358
323,0.7512000000000001
324,0.7351999999999999
325,0.734
326,0.7347
327,0.733
328,0.7464999999999999
329,0.7442
330,0.7234999999999999
331,0.7546
332,0.7417
333,0.7527
334,0.743
335,0.7375999999999999
336,0.7419000000000001
337,0.7581
338,0.7468999999999999
339,0.7501999999999999
340,0.7332
341,0.734
342,0.7266
343,0.7445
344,0.7356999999999999
345,0.7394000000000001
346,0.7485999999999999
347,0.7247
348,0.7462000000000001
349,0.7372
350,0.7427
351,0.7462
352,0.7395
353,0.7477999999999999
354,0.7533000000000001
355,0.7374
356,0.7495
357,0.7462
358,0.7375
359,0.7449999999999999
360,0.7306
361,0.7366999999999999
362,0.749
363,0.7501999999999999
364,0.7451000000000001
365,0.7492
366,0.7474000000000001
367,0.7538
368,0.7466000000000002
369,0.7537999999999998
370,0.7382000000000001
371,0.7496999999999999
372,0.7521000000000001
373,0.744
374,0.7432
375,0.7402
376,0.7483000000000001
377,0.7438
378,0.7388999999999999
379,0.7338
380,0.7405
381,0.7513000000000001
382,0.7511
383,0.7363999999999998
384,0.7397
385,0.7392000000000001
386,0.7456
387,0.7468
388,0.7411999999999999
389,0.7515
390,0.7415
391,0.7385999999999999
392,0.7461
393,0.7528
394,0.7365999999999998
395,0.7394000000000001
396,0.7550000000000001
397,0.7388
398,0.738
399,0.7441
400,0.7313
401,0.7293999999999998
402,0.7381
403,0.7269
404,0.7353000000000001
405,0.7382
406,0.7503
407,0.7344999999999999
408,0.7430000000000001
409,0.7451000000000001
410,0.7433
411,0.7435999999999999
412,0.7434000000000001
413,0.7444
414,0.748
415,0.7396999999999999
416,0.7429
417,0.7352
418,0.7376000000000001
419,0.7400000000000001
420,0.7359
421,0.7576
422,0.7375
423,0.7499
424,0.7394999999999998
425,0.7564000000000001
426,0.7433
427,0.7497999999999999
428,0.7473
429,0.7391
430,0.7472000000000001
431,0.7444000000000001
432,0.7365999999999999
433,0.7411
434,0.7369999999999999
435,0.7444
436,0.7507999999999999
437,0.754
438,0.7505
439,0.7353999999999999
440,0.7379
441,0.7451000000000001
442,0.7417
443,0.7321
444,0.7512000000000001
445,0.7314
446,0.7432000000000001
447,0.7504000000000001
448,0.7417
449,0.7319000000000001
450,0.7402
451,0.7379
452,0.7257999999999999
453,0.7511
454,0.7577
455,0.7457
456,0.7497
457,0.7436999999999999
458,0.7415
459,0.7528
460,0.7266
461,0.7468
462,0.7403000000000002
463,0.7549
464,0.7512999999999999
465,0.7489
466,0.7444
467,0.7599
468,0.7409000000000001
469,0.7524
470,0.7455
471,0.7516999999999998
472,0.7404000000000001
473,0.7375999999999999
474,0.7416999999999999
475,0.7505000000000001
476,0.7277000000000001
477,0.7444
478,0.7566999999999999
479,0.7474000000000001
480,0.7313000000000001
481,0.7415
482,0.7375999999999999
483,0.7392
484,0.7498
485,0.745
486,0.7462
487,0.7419
488,0.7373999999999999
489,0.7474999999999999
490,0.7561
491,0.7546000000000002
492,0.7491
493,0.7408
494,0.7503
495,0.7481
496,0.7492
497,0.7403000000000001
498,0.7343999999999999
499,0.7446
500,0.7508999999999999
